Date,Open,High,Low,Close,Adj Close,Volume
1/3/00,4186.189941,4192.189941,3989.709961,4131.149902,4131.149902,1510070000
1/4/00,4020,4073.25,3898.22998,3901.689941,3901.689941,1511840000
1/5/00,3854.350098,3924.209961,3734.870117,3877.540039,3877.540039,1735670000
1/6/00,3834.439941,3868.76001,3715.620117,3727.129883,3727.129883,1598320000
1/7/00,3711.090088,3882.669922,3711.090088,3882.620117,3882.620117,1634930000
1/10/00,4002.22998,4072.360107,3958.830078,4049.669922,4049.669922,1691710000
1/11/00,4031.379883,4066.659912,3904.820068,3921.189941,3921.189941,1694460000
1/12/00,3950.949951,3950.97998,3834.530029,3850.02002,3850.02002,1525900000
1/13/00,3915.139893,3957.469971,3858.219971,3957.209961,3957.209961,1476970000
1/14/00,4045.719971,4091.949951,4045.719971,4064.27002,4064.27002,1656630000
1/18/00,4059.649902,4148,4053.209961,4130.810059,4130.810059,1585230000
1/19/00,4116.27002,4164.649902,4084.72998,4151.290039,4151.290039,1652210000
1/20/00,4205.060059,4227.350098,4143.609863,4189.509766,4189.509766,1851300000
1/21/00,4236.649902,4238,4168.299805,4235.399902,4235.399902,1923680000
1/24/00,4290.379883,4303.149902,4095.310059,4096.080078,4096.080078,1989050000
1/25/00,4124.75,4167.629883,4028.51001,4167.410156,4167.410156,1743630000
1/26/00,4174.720215,4174.720215,4069.909912,4069.909912,4069.909912,1717000000
1/27/00,4120.5,4140.089844,3973.590088,4039.560059,4039.560059,1798460000
1/28/00,4010.139893,4048.310059,3856.22998,3887.070068,3887.070068,1616370000
1/31/00,3873.840088,3940.459961,3748.030029,3940.350098,3940.350098,1507630000
2/1/00,3961.070068,4053.159912,3911.840088,4051.97998,4051.97998,1398240000
2/2/00,4059.030029,4125.75,4051.439941,4073.959961,4073.959961,1527880000
2/3/00,4134.649902,4211.060059,4085.530029,4210.97998,4210.97998,1722330000
2/4/00,4242.149902,4294.839844,4229.200195,4244.140137,4244.140137,1751450000
2/7/00,4274.029785,4321.959961,4244.740234,4321.77002,4321.77002,1625540000
2/8/00,4370.009766,4428.47998,4370.009766,4427.5,4427.5,1971180000
2/9/00,4460.180176,4460.759766,4362.740234,4363.240234,4363.240234,1775590000
2/10/00,4390.160156,4485.669922,4357.689941,4485.629883,4485.629883,1813590000
2/11/00,4489.330078,4489.790039,4360.540039,4395.450195,4395.450195,1738590000
2/14/00,4434.379883,4435.959961,4355.540039,4418.549805,4418.549805,1600850000
2/15/00,4415.52002,4440.620117,4291.100098,4420.77002,4420.77002,1708930000
2/16/00,4427.189941,4477.640137,4413.660156,4427.649902,4427.649902,1782130000
2/17/00,4483.009766,4553.140137,4444.75,4548.919922,4548.919922,2008440000
2/18/00,4563.720215,4564.450195,4404.609863,4411.740234,4411.740234,1898410000
